date,margin_bal
2018-04-04,598181552536
2018-04-09,599650337034
2018-04-10,599080845943
2018-04-11,599689679276
2018-04-12,600424988033
2018-04-13,599833935982
2018-04-16,601024882857
2018-04-17,600284382263
2018-04-18,600098082128
2018-04-19,599180521526
2018-04-20,596545372671
2018-04-23,596995595435
2018-04-24,596377635708
2018-04-25,597019402304
2018-04-26,596178122764
2018-04-27,592867415552
2018-05-02,592911559958
2018-05-03,591987078108
2018-05-04,590434735762
2018-05-07,591629638695
2018-05-08,592400524194
2018-05-09,593703956355
2018-05-10,594735071550
2018-05-11,592719427747
2018-05-14,592905263679
2018-05-15,593410196752
2018-05-16,594416330170
2018-05-17,595158136870
2018-05-18,594145598040
2018-05-21,595880340436
2018-05-22,597985960989
2018-05-23,599797085094
2018-05-24,600564172688
2018-05-25,598455827921
2018-05-28,598949037435
2018-05-29,597965012117
2018-05-30,595635486365
2018-05-31,595372987763
2018-06-01,592445445276
2018-06-04,590840188900
2018-06-05,591074705741
2018-06-06,590709945434
2018-06-07,590959804095
2018-06-08,589088015126
2018-06-11,588485005458
2018-06-12,588519533549
2018-06-13,587140793988
2018-06-14,586589031060
2018-06-15,581569561529
2018-06-19,567849953722
2018-06-20,564645936794
2018-06-21,560808688544
2018-06-22,558196136785
2018-06-25,556875334203
2018-06-26,556636105493
2018-06-27,555886983956
2018-06-28,555085668675
2018-06-29,553522416883
2018-07-02,552525463016
2018-07-03,552690105369
2018-07-04,549414701907
2018-07-05,546020776894
2018-07-06,543489414407
2018-07-09,542012974350
2018-07-10,541878346674
2018-07-11,539487029849
2018-07-12,540247707295
2018-07-13,538340528874
2018-07-16,538527240085
2018-07-17,539103125579
2018-07-18,538559054640
2018-07-19,536935848153
2018-07-20,534906513435
2018-07-23,534001675133
2018-07-24,533653883014
2018-07-25,534356990639
2018-07-26,535637045599
2018-07-27,533848926644
2018-07-30,533625257352
2018-07-31,532916979958
2018-08-01,532068228664
2018-08-02,531174597926
2018-08-03,528810410344
2018-08-06,527221789894
2018-08-07,526392695026
2018-08-08,524900753790
2018-08-09,524594839263
2018-08-10,522761979654
2018-08-13,523722819418
2018-08-14,523860576227
2018-08-15,523990050346
2018-08-16,524345738232
2018-08-17,522737305344
2018-08-20,521423369451
2018-08-21,520047585196
2018-08-22,519198247652
2018-08-23,519453159802
2018-08-24,517564307970
2018-08-27,517733060699
2018-08-28,517411048779
2018-08-29,516904203797
2018-08-30,516491992705
2018-08-31,513956376664
2018-09-03,513290990055
2018-09-04,513182458484
2018-09-05,513010193653
2018-09-06,513256982251
2018-09-07,511137883134
2018-09-10,509479248423
2018-09-11,508866481182
2018-09-12,508765532668
2018-09-13,508467827596
2018-09-14,506009498734
2018-09-17,504993237974
2018-09-18,504631339773
2018-09-19,502678815221
2018-09-20,501271444915
2018-09-21,498777152833
2018-09-25,499653250243
2018-09-26,499093628658
2018-09-27,497647547449
2018-09-28,492989890192
2018-10-08,496333847498
2018-10-09,496798379422
2018-10-10,496692130111
2018-10-11,489362003478
2018-10-12,482668130673
2018-10-15,479708528447
2018-10-16,475305265051
2018-10-17,472763724975
2018-10-18,470159311394
2018-10-19,466894473017
2018-10-22,467650052315
2018-10-23,468538487733
2018-10-24,468452250683
2018-10-25,468119435880
2018-10-26,467169473732
2018-10-29,467955868930
2018-10-30,466687049647
2018-10-31,466160156064
2018-11-01,465870071113
2018-11-02,464828736776
2018-11-05,466115042931
2018-11-06,466581343674
2018-11-07,466902793065
2018-11-08,466765910615
2018-11-09,467006411052
2018-11-12,468798812385
2018-11-13,469651112918
2018-11-14,471116952401
2018-11-15,472299226346
2018-11-16,471864498649
2018-11-19,473853869819
2018-11-20,475056211230
2018-11-21,475233531812
